№ поста,№ п/п старый,№ п/п пред ОП,№ п/п новый,№ п/п пред ОП,№ п/п след ОП,Пост,Номер операции,Номер предшеств.,Номер послед.,Наименование операции,Чертеж,Трудоемкость,Кол-во человек,Время,Бригада,Место проведения работ,Резерв операции
1,1,0,1,0,"2,7,11,12,18",1,1,0,"2,7,11,12,18",Демонтаж крышевых люков,5ТС.340.337,"1,8",2,"0,9",Т/Б,на крыше,0
1,2,1,2,1,"3,14,15",1,2,1,"3,14,15",Изолировка по полу,5ТС.512.086-02,"3,2",4,"0,8",ОРИЩЕНКО,в куз,"4,09"
1,3,2,3,2,6,1,3,2,6,Изолировка глухого коридора,5ТС.512.086-02,"6,5",4,"1,625",ОРИЩЕНКО,в куз,"9,415"
1,4,5,4,5,,1,4,5,,Изолировка желоба,5ТС.512.086-02,"3,5",4,"0,875",ОРИЩЕНКО,в куз,"9,415"
1,5,6,5,6,4,1,5,6,4,Изолировка проходного коридора,5ТС.512.086-02,"4,3",4,"1,075",ОРИЩЕНКО,в куз,"9,415"
1,6,3,6,3,5,1,6,3,5,Изолировка под кузовом,5ТС.512.086-02,3,4,"0,75",ОРИЩЕНКО,под куз,"9,415"
1,7,1,7,1,8,1,7,1,8,Установка реакторов РС-19,6ТС.020.410,"0,49",1,"0,49",Т/Б,в куз,0
1,8,7,8,7,9,1,8,7,9,Установка ИШ ВВК1,6ТС.020.509,"1,475",1,"1,475",Т/Б,в куз,0
1,9,8,9,8,10,1,9,8,10,Установка ИШ ВВК2,6ТС.020.510-02,"1,475",1,"1,475",Т/Б,в куз,0
1,10,9,10,9,20,1,10,9,20,Установка монтажных люлек,5ТС.512.086-02,"0,5",1,"0,5",Т/Б,в куз,0
1,11,1,11,1,35,1,11,1,35,Установка кондуитов,5ТС.512.086-02,"0,5",1,"0,5",КАЧАЕВ,под куз,"13,04"
1,12,1,12,1,13,1,12,1,13,Установка гидродемпферов,6ТЛ.031.017,"2,7",2,"1,35",КАЧАЕВ,под куз,"12,04"
1,13,12,13,12,42,1,13,12,42,Установка ручного тормоза ,6ТС.032.027,"1,8",2,"0,9",КАЧАЕВ,под куз,"12,04"
1,14,2,14,2,16,1,14,2,16,Прокладка проводов по полу (+провода) В/В,5ТС.512.086-02,2,1,2,М/Р,в куз,"4,09"
1,15,2,15,2,17,1,15,2,17,"Прокладка проводов по полу (+провода, фланцы) Н/В",5ТС.512.086-02,2,1,2,К/Ш,в куз,"10,49"
1,16,14,16,14,25,1,16,14,25,Крепление проводов по полу по полосам в/в,5ТС.512.086-02,1,1,1,М/Р,в куз,"4,09"
1,17,15,17,15,30,1,17,15,30,Крепление проводов по полу по полосам н/в,5ТС.512.086-02,1,1,1,К/Ш,в куз,"10,49"
1,18,1,18,1,19,1,18,1,19,Установка блока1,6ТС.020.509,"0,5",2,"0,25",Т/Б,в куз,"0,84"
1,19,18,19,18,22,1,19,18,22,Установка блока2,6ТС.020.509,"0,5",2,"0,25",Т/Б,в куз,"0,84"
1,20,10,20,10,21,1,20,10,21,Установка ВУВ,6ТС.020.412,"2,1",1,"2,1",Т/Б,в куз,0
1,21,20,21,20,"27,32,34",1,21,20,"27,32,34",Установка блока диодов,6ТС.020.412,"0,7",1,"0,7",Т/Б,в куз,0
1,22,19,22,19,23,1,22,19,23,Установка блоков на глухой стенке ВВК1,6ТС.020.509,"2,35",2,"1,175",Т/Б,в куз,"0,84"
1,23,22,23,22,24,1,23,22,24,Установка блоков на глухой стенке ВВК2,6ТС.020.510-02,"1,5",2,"0,75",Т/Б,в куз,"0,84"
1,24,23,24,23,,1,24,23,,Установка блоков на глухой стенке в средней части,6ТЛ.020.003,"2,35",2,"1,175",Т/Б,в куз,"0,84"
1,25,16,25,16,26,1,25,16,26,Монтаж проводов к тяговым двигателям  1 к,6ТС.050.084,"1,1",1,"1,1",М/Р,в куз,"4,09"
1,26,25,26,25,28,1,26,25,28,Монтаж проводов к тяговым двигателям  2 к (+соединение),6ТС.050.084,"1,4",1,"1,4",М/Р,в куз,"4,09"
1,27,21,27,21,41,1,27,21,41,"Установка  КПС, ПТ-98, ТР-19",6ТС.020.510-02,"1,4",1,"1,4",Т/Б,в куз,"5,4"
1,28,26,28,26,29,1,28,26,29,Монтаж и подключение КПС,6ТС.050.084,"2,5",1,"2,5",М/Р,в куз,"4,09"
1,29,28,29,28,31,1,29,28,31,Монтаж и подключение ИШ,6ТС.050.084,"1,25",1,"1,25",М/Р,в куз,"4,09"
1,30,17,30,17,,1,30,17,,Монтаж к РС,5ТС.512.086-02,"0,25",1,"0,25",К/Ш,в куз,"10,49"
1,31,29,31,29,,1,31,29,,Сдача ОТК,,"0,4",1,"0,4",,в куз,"4,09"
1,32,21,32,21,33,1,32,21,33,"Прокладка кабелей радиостанции, КЛУБ, САУТ и МСУД по желобу к местам установки (+фланцы)",5ТС.512.086-02,"8,4",2,"4,2",М/Р,в куз,0
1,33,32,33,32,,1,33,32,,"Крепление кабелей радиостанции, КЛУБ, САУТ и МСУД по желобу к местам установки",5ТС.512.086-02,"7,2",2,"3,6",М/Р,в куз,0
1,34,21,34,21,,1,34,21,,Установка резервуаров на торцевой стенке,6ТС.031.955,"3,6",2,"1,8",ПОНОМ,торец,"5,8"
1,35,11,35,11,,1,35,11,,Установка баллонов,6ТС.031.196,1,1,1,КАЧАЕВ,торец,"13,04"
1,36,0,36,0,37,1,36,0,37,Подготовка розеток МЭС,6ТС.020.514,"0,6",1,"0,6",ПЕТ,пол,"4,84"
1,37,36,37,36,38,1,37,36,38,Крепление корпусов розеток на лобовине,6ТС.020.514,"1,2",2,"0,6",ПЕТ,в куз,"4,84"
1,38,37,38,37,39,1,38,37,39,Раскладка проводов по буферному брусу,5ТС.512.086-02,"4,2",2,"2,1",ПЕТ,в куз,"4,84"
1,39,38,39,38,40,1,39,38,40,Крепление корпусов розеток в торце,6ТС.020.514,"1,2",2,"0,6",ПЕТ,в куз,"4,84"
1,40,39,40,39,,1,40,39,,Раскладка проводов в кузове в торце,5ТС.512.086-02,"2,8",2,"1,4",ПЕТ,в куз,"4,84"
1,41,27,41,27,,1,41,27,,Установка подножек,6ТС.031.564,1,1,1,Т/Б,под куз,"5,4"
3,55,13,42,13,,1,42,13,,Установка брезентовых патрубков (крепление к кузову),6ТС.031.513,1,2,"0,5",КАЧАЕВ,под куз,"12,04"
2,1,0,43,0,44,2,43,0,44,Зачистка и подготовка кабины,6ТС.032.586,"1,6",1,"1,6",СТОЛ,пол,
2,2,1,44,43,45,2,44,43,45,Установка кабины,6ТС.032.586,"3,25",2,"1,625",СТОЛ,в куз,
2,3,2,45,44,,2,45,44,,Герметизация,6ТС.032.586,"2,75",2,"1,375",СТОЛ,в куз,
2,4,0,46,0,,2,46,0,,Подготовка н/в пучка,5ТС.512.086-02,6,2,3,М/Р,в куз,
2,5,11,47,53,48,2,47,53,48,Прокладка н/в пучка и крепление,5ТС.512.086-02,"13,2",11,"1,2",М/Р,в куз,
2,6,5,48,47,"89,91,93,111",2,48,47,"89,91,93,111",Раскладка ответвлений,5ТС.512.086-02,"2,4",4,"0,6",К/Ш,в куз,
2,7,0,49,0,51,2,49,0,51,"Прокладка в/в проводов по желобу и кузову (+В/В жгут, кабели)",5ТС.512.086-02,7,2,"3,5",М/Р,в куз,
2,8,0,50,0,52,2,50,0,52,Прокладка силовых проводов по желобу и кузову (+жгут),5ТС.512.086-02,6,2,3,М/Р,в куз,
2,9,7,51,49,53,2,51,49,53,Крепление проводов по полосам В/В,5ТС.512.086-02,"4,5",2,"2,25",М/Р,в куз,
2,10,8,52,50,,2,52,50,,Крепление проводов по полосам СИЛОВЫХ,5ТС.512.086-02,3,2,"1,5",М/Р,в куз,
2,11,9,53,51,47,2,53,51,47,Прокладка жгута автоматики в кузове (+провода),5ТС.512.086-02,"4,5",4,"1,125",М/Р,в куз,
2,12,0,54,0,55,2,54,0,55,Монтаж шин нижний ряд 1 к,6ТС.052.100-01,"0,75",1,"0,75",Т/Б,в куз,
2,13,12,55,54,56,2,55,54,56,Монтаж шин средний ряд 1 к,,"0,75",1,"0,75",Т/Б,в куз,
2,14,13,56,55,57,2,56,55,57,Монтаж шин верхний ряд 1 к,,"0,75",1,"0,75",Т/Б,в куз,
2,15,14,57,56,58,2,57,56,58,Монтаж шин нижний ряд транс,,"0,75",1,"0,75",Т/Б,в куз,
2,16,15,58,57,59,2,58,57,59,Монтаж шин средний ряд транс,,"0,75",1,"0,75",Т/Б,в куз,
2,17,16,59,58,,2,59,58,,Монтаж шин верхний ряд транс,,"0,75",1,"0,75",Т/Б,в куз,
2,18,0,60,0,61,2,60,0,61,Монтаж шин нижний ряд 2 к,6ТС.052.101,"0,75",1,"0,75",Т/Б,в куз,
2,19,18,61,60,62,2,61,60,62,Монтаж шин средний ряд 2 к,,"0,75",1,"0,75",Т/Б,в куз,
2,20,19,62,61,63,2,62,61,63,Монтаж шин верхний ряд 2 к,,"0,75",1,"0,75",Т/Б,в куз,
2,21,20,63,62,64,2,63,62,64,Монтаж шин нижний ряд ВВК2,,"0,75",1,"0,75",Т/Б,в куз,
2,22,21,64,63,65,2,64,63,65,Монтаж шин средний ряд ВВК2,,"0,75",1,"0,75",Т/Б,в куз,
2,23,22,65,64,101,2,65,64,101,Монтаж шин верхний ряд ВВК2,,"0,75",1,"0,75",Т/Б,в куз,
2,24,"57,61",66,"89,93",67,2,66,"89,93",67,Установка Блока 9,6ТС.020.510-02,"0,66",2,"0,33",Т/Б,в куз,
2,25,24,67,66,68,2,67,66,68,Установка Блока 7,6ТС.020.510-02,"0,66",2,"0,33",Т/Б,в куз,
2,26,25,68,67,69,2,68,67,69,Установка Блока 8,6ТС.020.510-02,"1,2",2,"0,6",Т/Б,в куз,
2,27,26,69,68,70,2,69,68,70,Установка Блока 6 (БСА),6ТС.020.510-02,"1,2",2,"0,6",Т/Б,в куз,
2,28,27,70,69,71,2,70,69,71,Установка пускового двигателя в кузове,6ТС.020.662,"1,6",2,"0,8",Т/Б,в куз,
2,29,28,71,70,75,2,71,70,75,Установка МВ-688,6ТС.020.412,"0,8",2,"0,4",Т/Б,в куз,
